region,county_name,address,total_rank,total_comments_count,altitude,campground_emo_geo_ID,campground_ID,camping_site_name,campground_category,hot,negative_ratio,positive_ratio,hot_but_negative,latitude,longitude,count
北區,台北市,台北市士林區德行東路81巷15弄,5.0,1,,158,405,すず,好評,,,,,25.0918396,121.5242068,1
北區,台北市,台北市北投區竹子湖路1-10號,4.6,113,,188,435,中華民國童軍苗圃營地,普通,,0.0,1.0,,25.132419,121.501379,1
北區,台北市,台北市中山區一段民生東路9樓29號,4.8,67,,401,648,客泊樂 Kamper Land,好評,,0.05,0.95,,25.0643611,121.533468,1
北區,台北市,台北市內湖區碧山路26-6號,4.5,1193,,826,1074,碧山露營場,普通,Hot,0.11,0.89,,25.069664,121.5889983,1
北區,台北市,台北市萬華區萬大路底號華中河濱公園(左區,4.0,1353,,942,1190,華中露營場,差評,Hot,0.59,0.41,熱門但負評比例超過50%,25.0319327,121.4993322,1
北區,台北市,台北市士林區菁山路101巷71弄16號,4.7,897,,967,1215,蟬說: 暖硫 Chanshuo Warm Flow Glamping,普通,Hot,0.04,0.96,,25.0918396,121.5242068,1
北區,台北市,台北市北投區秀山路85巷80號,4.3,1578,,989,1237,貴子坑露營場,普通,Hot,0.12,0.88,,25.132419,121.501379,1
北區,台北市,台北市士林區菁山路101巷71弄16號,4.6,95,,1085,1333,陽明山菁山遊憩區露營區,普通,,0.11,0.89,,25.0918396,121.5242068,1
北區,台北市,台北市大同區民生西路8樓432號,5.0,66,,1120,1368,露營車出租(預約送到府)雙北,好評,,0.02,0.98,,25.065986,121.515514,1
北區,新北市,新北市平溪區靜安路三段391號,4.3,339,200.0,13,40,十分自然露營區,普通,Hot,0.2,0.8,,25.025797,121.739144,1
北區,新北市,新北市烏來區大羅蘭七號,4.2,46,380.0,30,86,大羅蘭,,,0.26,0.74,,24.8639758,121.5512547,1
北區,新北市,新北市烏來區大羅蘭19之1號,3.7,109,410.0,82,242,福山達卡露營區,差評,,0.24,0.76,,24.8639758,121.5512547,1
北區,新北市,新北市三芝區北勢子19號,4.1,208,,116,363,19庄-海景露營庄園,差評,,0.21,0.79,,25.258047,121.500866,1
北區,新北市,新北市三峽區153-1號,4.0,435,,174,421,三峽樂樂谷車泊車宿木屋露營烤肉園區,差評,Hot,0.37,0.63,,24.9343387,121.368905,1
