露營場名稱,地址,標題
天景露營區,新竹縣五峰鄉花園村10鄰天湖205號,【露營趣】新竹.天景露營區 ★油羅山登步道、櫻花林露營區 NO.307
天湖露營區,新竹縣五峰鄉花園村10鄰天湖218-11號,【露營趣】新竹.天湖露營區 ★星空、雲海、夜景、夕陽、日出一次收錄 NO.243
天湖露營區,新竹縣五峰鄉花園村天湖218-11號,【露營趣】新竹.天湖露營區 ★每區都獨具特色的營地，賞星、賞夜景、觀日出 NO.101
漫步天湖,新竹縣五峰鄉219之31號 ,【露營趣】新竹.天湖露營區 ★每區都獨具特色的營地，賞星、賞夜景、觀日出 NO.101
天湖農園,新竹縣尖石鄉8鄰227號 ,【露營趣】新竹.天湖露營區 ★每區都獨具特色的營地，賞星、賞夜景、觀日出 NO.101
天湖秘境,新竹縣五峰鄉花園村 ,【露營趣】新竹.天湖露營區 ★每區都獨具特色的營地，賞星、賞夜景、觀日出 NO.101
天湖第一家,新竹縣五峰鄉10 鄰 219-11 號,【露營趣】新竹.天湖露營區 ★每區都獨具特色的營地，賞星、賞夜景、觀日出 NO.101
四季露營區,新竹縣五峰鄉桃山村(隘蘭聯絡道路)18鄰305-1號(位於白蘭部落竹67鄉道12公里處),【露營趣】新竹.四季 ★優質的營主、美麗的四季、大人小孩都滿足的露營區、順訪白蘭溪古道 NO.64
仙境露營區,新竹縣尖石鄉錦屏村6鄰吹上39-2號,【露營趣】新竹.仙境露營區 ★適合親子互動的營地、提供民宿和大雨棚、愛自己多一點優雅露營去 NO.103
小夫妻露營區,新竹縣尖石鄉錦屏村吹上39之1,【露營趣】新竹.仙境露營區 ★適合親子互動的營地、提供民宿和大雨棚、愛自己多一點優雅露營去 NO.103
杉嵐營地,新竹縣五峰鄉竹林村1鄰羅山23之2號,【露營趣】新竹.杉嵐露營區 ★森林系露營區、高海拔營地、舒心愜意的環境 NO.264
舞蜜露營區,新竹縣五峰鄉竹林村 ,【露營趣】新竹.杉嵐露營區 ★森林系露營區、高海拔營地、舒心愜意的環境 NO.264
有愛一家露營區,新竹縣五峰鄉一鄰23-5號 ,【露營趣】新竹.杉嵐露營區 ★森林系露營區、高海拔營地、舒心愜意的環境 NO.264
河岸營地,經台68縣→尖石往宇老鐵馬驛站→竹60約22.3公里處左轉(往玉峰)方向接竹60-1至玉峰國小前即達。(導航搜詢：尖石鄉玉峰國小)。,【露營趣】新竹.河岸營地 *順訪美樹營地、探訪秀巒部落野溪溫泉 NO:27
美樹營地,宇老觀景台附近,【露營趣】新竹.河岸營地 *順訪美樹營地、探訪秀巒部落野溪溫泉 NO:27
哈娜露營區,新竹縣五峰鄉竹林村5鄰和平163號,【露營趣】新竹. 哈娜露營區 ★小巧用心的露營區、順訪鬼澤山 NO.203
起初露營區,新竹縣尖石鄉梅花村梅花農路,【露營趣】新竹.起初 ★回歸初始、享有芬多精的森林營位、觀日出、避暑之地 NO.47
函館露營區,新竹縣尖石鄉義興村九鄰馬胎107-1號,【露營趣】新竹.函館 ★迷人的百萬夜景 NO.151
馬胎仙境露營區,新竹縣尖石鄉馬胎108-2號 ,【露營趣】新竹.函館 ★迷人的百萬夜景 NO.151
尖石之星,新竹縣尖石鄉 ,【露營趣】新竹.函館 ★迷人的百萬夜景 NO.151
清新忘憂,新竹縣尖石鄉義興村馬胎107-2號 ,【露營趣】新竹.函館 ★迷人的百萬夜景 NO.151
尖石之星一館,新竹縣尖石鄉 ,【露營趣】新竹.函館 ★迷人的百萬夜景 NO.151
美樹,新竹縣尖石鄉玉峰村6鄰20號(玉峰大橋附近),【露營趣】新竹.美樹露營區 ★享受楓林中露營的意境，楓擁而來的攝影師 NO.67
團圓露營區,新竹線尖石鄉新樂村煤源11鄰160之2號,【露營趣】新竹.團圓露營區 ★寬敞舒適的露營環境，乾濕分離衛浴 NO.207
迎風露營區,新竹縣尖石鄉 ,【露營趣】新竹.團圓露營區 ★寬敞舒適的露營環境，乾濕分離衛浴 NO.207
樂窩,新竹縣峨眉鄉湖光村十二寮8之10號,【露營趣】新竹.樂窩露營區 ★適合輕露營和新手露營的營地、露營也要搭上夜店風、陳志超雙峰帳試搭 NO.107
賽夏農場露營區,新竹縣五峰鄉竹林段418之一號,【露營趣】新竹.賽夏農場 ★高海拔露營區、坐擁絕佳景觀 NO.271
蟬說：霧繞,新竹縣五峰鄉桃山村白蘭298之3號,【露營趣】蟬說:霧繞 WOORAO｜新竹豪華露營 GLAMPING，一泊二食，免裝備露營擁抱大自然！ NO.289
尤巴士,新竹縣五峰鄉桃山村 (白蘭部落),【露營趣】新竹.尤巴士 ★與杉林木有約，美好的森林浴，天然又乾淨的營地，看見盟約杉林民宿 NO.123
戈巴倫露營區,新竹縣五峰鄉竹林村和平156號,【露營趣】新竹.戈巴倫 ★森林系露營區、享受山林的寂靜 NO.99
半山腰休閒農園,新竹縣尖石鄉新樂村2鄰往甕碧潭農路(水田部落),【露營趣】新竹.半山腰 ★CP值高的露營區、鄰近甕碧潭瀑布、追螢火蟲與油桐花 NO.201
松木青,新竹縣五峰鄉大隘村14鄰266號,【露營趣】新竹.松木青 ★小巧的森林系露營區、揪團露營去 NO.135
秘花園親子露營區,新竹縣尖石鄉錦屏村12鄰那羅209號,【露營趣】新竹.秘花園親子露營區 ★孩子的玩樂天堂 NO.257
熊麻吉露營區,新竹縣尖石鄉那羅209之七 ,【露營趣】新竹.秘花園親子露營區 ★孩子的玩樂天堂 NO.257
鹿林道露營區,新竹五峰,【露營趣】新竹.鹿林道(四訪) ★櫻花祭大滿開、增加新營位了，近百帳大營地  NO.326
鹿林道營地,新竹五峰鄉大鹿林道3K處,【露營趣】新竹. 鹿林道(三訪) ★浪漫櫻花季，粉色富士櫻炸開 NO.304
鹿林道,新竹縣五峰鄉桃山村大鹿林道3k處,【露營趣】新竹.鹿林道(二訪) ★夏日民謠瘋、雪霸農場繡球花美翻、順訪野馬瞰山步道 NO：89
鹿林道,新竹縣五峰鄉桃山村大鹿林道3k處,【露營趣】新竹.鹿林道 ★山林間的自然教室、超棒竹筒飯DIY、規劃有遊憩設施的營地、順遊檜山巨木群步道NO:84
星空下,新竹縣五峰鄉白蘭部落,【露營趣】新竹.星空下露營區 ★ 美麗的桃山村、將大自然擁入懷 NO.71
梅山頂露營區,新竹縣五峰鄉羅山林道南線24-10 號,【露營趣】新竹.梅山頂露營區 ★高海拔露營區，遠眺群山景緻優美，璀璨夜景入夜登場 NO.176
梅山頂景觀露營區,新竹縣五峰鄉羅山林道南線24-10 號,【露營趣】新竹.梅山頂露營區 ★高海拔露營區，遠眺群山景緻優美，璀璨夜景入夜登場 NO.176
櫻花谷露營區,新竹尖石鄉,【露營趣】新竹.櫻花谷露營區 *五星夢幻營地  NO:03
鳥嘴山,新竹縣五峰鄉桃山村18鄰314號(鳥嘴山登山口旁),【露營趣】新竹.鳥嘴山 ★觀星、爬山、賞景的營地，600元露營區，帶孩子爬山去，順訪張學良故居 NO.91
星空下露營區,新竹縣五峰鄉311之37號 ,【露營趣】新竹.鳥嘴山 ★觀星、爬山、賞景的營地，600元露營區，帶孩子爬山去，順訪張學良故居 NO.91
翡翠園露營區,新竹縣五峰鄉竹林村1鄰羅山24-16號,【露營趣】新竹.翡翠園 ★櫻花、桃花盛開，高海拔露營區 NO.192
露露米露營區,新竹縣五峰鄉竹林村,【露營趣】新竹.露露米 ★天然冷氣放送中，銀河、夜景、山谷雲海 NO.170
大霸雅脈,新竹縣五峰鄉大隘村,【露營趣】新竹.大覇雅脈 ★愛上雲海、適合小包場的營地 NO.109
北得拉曼,新竹縣尖石鄉新樂村15-2號,【露營趣】新竹.北得拉曼-天使之窗 ★五星的自然營地勝過五星的衛浴，樹意盎然、生態導覽、廣闊山景 NO.40
天使之窗,新竹縣尖石鄉新樂村15-2號,【露營趣】新竹.北得拉曼-天使之窗 ★五星的自然營地勝過五星的衛浴，樹意盎然、生態導覽、廣闊山景 NO.40
尖石夢田,新竹縣尖石鄉嘉樂村5鄰270-5號,【露營趣】新竹.尖石夢田 ★視野遼闊的山景、放空ING 、解憂的方式：露營去吧！ NO：86
有愛一家露營區,新竹縣五峰鄉一鄰23-5號,【露營趣】新竹.有愛一家★小而美的露營區、寬闊的視野 NO.250
阿貴營地,新竹縣五峰鄉大隘村23鄰466號,【露營趣】新竹.阿貴營地 ★拜訪山上人家、鵝公髻山森林浴洗禮 NO.46
春文草堂,新竹縣尖石鄉義興村9鄰80-10號,【露營趣】新竹.春文草堂 ★小而巧的用心營地 NO.185
楓櫻杉林,新竹縣五峰鄉花園村9.7K處,【露營趣】新竹.楓櫻杉林 ★享受團露的歡樂氛圍、GO環島去 NO.48
漫步天湖,新竹縣五峰鄉花園村10鄰219之3號,【露營趣】新竹.漫步天湖 ★景總在入夜後帶來驚喜 NO.65
飛鳥恰恰,新竹縣五峰鄉花園村10鄰天湖205-12號,【露營趣】新竹.飛鳥恰恰 ★邁向新式露營風格，免裝備野遊體驗，清涼透徹的溪水 NO.129
清悠忘我露營區,新竹縣尖石鄉新樂村5鄰水田148-3號,【露營趣】新竹.清悠忘我 ★適合小包場的露營區、乾濕分離衛浴、乾淨的露營環境  NO.319
北得拉曼露營區,新竹縣尖石鄉新樂村5鄰上水田150-2號 ,【露營趣】新竹.清悠忘我 ★適合小包場的露營區、乾濕分離衛浴、乾淨的露營環境  NO.319
斑比跳跳渡假村,苗栗縣三灣鄉小北埔27號 ,【露營趣】新竹.斑比跳跳X愛露營野遊 ★五星露營渡假莊園、高質感的舒適豪華露營、獨立衛浴 NO.190
斑比跳跳,苗栗縣三灣鄉小北埔27號 ,【露營趣】新竹.斑比跳跳X愛露營野遊 ★五星露營渡假莊園、高質感的舒適豪華露營、獨立衛浴 NO.190
遇見嵨繞,新竹縣尖石鄉玉峰村宇老1鄰9號,【露營趣】新竹.遇見嵨繞 ★無邊際的山景、別具自然風情的營地、從0開始 NO.100
綠色奇緣,新竹縣五峰鄉5鄰和平166-15號,【露營趣】新竹.綠色奇緣(4訪) ★部落導覽、營火晚會、超推的親子營地 NO.152
綠色奇緣,新竹縣五峰鄉5鄰和平166-15號,【露營趣】新竹.綠色奇緣 ★超激推親子露營區，竹筒飯、弓箭製作、生態導覽 NO.102
綠色奇緣露營區,新竹縣五峰鄉和平部落 (羅平道路指標 1.68K 處),【露營趣】新竹.綠色奇緣 ★最美的風景是營主、頭次二訪的營地、拜訪螢火蟲 NO.39
綠色奇緣,新竹縣五峰鄉和平部落 (羅平道路指標 1.68K 處),【露營趣】新竹.綠色奇緣  *製作竹筒飯、免費生態導覽、泳池…超值的露營區 NO:23
