露營場名稱,地址,介紹,來源檔名,title,date,input_tokens,output_tokens,total_tokens
自然圈LoFi Land,苗栗縣卓蘭鎮西坪36-20號,以生態工法打造「曠野沙漠」與「溫帶森林」2種景觀，一泊二食免裝備露營還能泡溫泉，平日2人就能包圈，隱私性高的優勢、豐富生態和手作體驗，創造出全新生活型態，在露營圈打響一片天。而園區新設生態昆蟲館，內有竹節蟲、獨角仙、蜥蜴等，能近距離接觸這些昆蟲和兩棲類，藉此了解牠們的生活習性。,articles1.csv,苗栗花露農場新蓋「牡丹花館」！趕過年前開　還有5千株鬱金香,2025年01月10日 09:01,1312,137,1449
嬉皮國度－入樹二村,南投縣魚池鄉大雁巷31－8號,位於魚池鄉大雁村中有「台灣小瑞士」之稱的澀水社區，四面環山而綻放的蓮花山谷地形，讓人彷彿來到一處遠離塵囂的世外桃源。其有別於一村的波西米亞風格，二村加入了嬉皮元素並保留了原始風情的森林環境，一草一木的植栽到帳篷整體設計更是精心規劃！,articles2.csv,南投懶人露營開箱！享受超美星空電影院　還能手作專屬香氛蠟燭,2024年10月21日 17:00,1031,135,1166
蘇維拉莊園豪華露營區,苗栗縣南庄鄉四灣15鄰92號,蘇維拉莊園是苗栗南庄超強大的渡假玩樂勝地！有森林樹屋之稱的童話王國小鎮，夜間點燈超夢幻，可以遊園、用餐、挑戰北台灣最長的磨石子溜滑梯，居然還可以住宿露營，讓旅人入住一路玩到退房，蘇維拉莊園最新的豪華露營車，住一晚就會愛上，天空列車即將啟程，帶你感受不一樣的南庄之夜，飛天小火車豪華露營，一泊三食還能吃到龍蝦，再搭配苗栗南庄景點懶人包，絕對更充實。,articles3.csv,苗栗最強懶人露營！飯店級露營車自帶浴缸　小孩放電一路玩到退房,2024年10月16日 17:00,2438,185,2623
朋趣豪華露營車,桃園市龍潭區悅華路100號,"桃園「朋趣豪華露營車」為迎接開幕兩周年，8月30日至10月31日，周日至周五雙人入住指定露營車款，一晚8,699元起，第三位入住只需加99元，換算下來一人免3,000元，即可享下午茶、晚餐、消夜與翌日的早餐箱。",articles4.csv,一泊四食1人免3千元！桃園豪華露營車「第3人加99元」還贈千元禮,2024年08月22日 16:47,727,223,950
牛仔星村豪華露營-桃園埔心牧場,桃園市楊梅區幼獅路一段439號,"桃園埔心牧場也有「牛仔星村」豪華露營，即日起至9月30日前，入住「彩蛋親子露營車」2大2小含早餐、晚餐、迎賓宵夜包，平日一泊三食7,800元起，還能享專屬電動車、漆彈體驗、划船券等套裝行程，從下午入住玩到隔天。",articles4.csv,一泊四食1人免3千元！桃園豪華露營車「第3人加99元」還贈千元禮,2024年08月22日 16:47,727,223,950
蟬說霧語,新竹縣五峰鄉白蘭315－5號,蟬說集團旗下最高海拔的新竹豪華露營區「蟬說霧語」，於2023年新開幕，除了高品質的新竹懶人露營體驗，霧語更是新竹五峰人氣秘境賞櫻露營區，提供豪華帳篷跟包棟民宿兩種選擇，此外，新竹露營區推薦「蟬說霧語」，還提供各種不同的活動體驗，如櫻花林下午茶、營火烤棉花糖、泰雅族篝火餐食、打獵體驗等等，體驗在地深度旅遊的樂趣，讓你可以充分感受到大自然的美妙和魅力。,articles5.csv,精選11間新竹懶人露營攻略！豪華下午茶＆自然風景一次滿足,2024年03月27日 17:00,2953,1911,4864
蟬說霧繞,新竹縣五峰鄉桃山村白蘭298之3號,2022年新開幕的新竹五峰鄉豪華露營-蟬說霧繞，全包式新竹露營區提供一泊二食含晚餐跟早餐，還有附贈下午茶 ，只要拎著一卡皮箱就能輕鬆入住，俯瞰新竹五峰鄉的山中美景，早晨不時會出現雲海美景，春天來臨更有櫻花樹盛開的景緻，擺脫平時工作繁忙腳步，就來山中住一晚吧。,articles5.csv,精選11間新竹懶人露營攻略！豪華下午茶＆自然風景一次滿足,2024年03月27日 17:00,2953,1911,4864
愛上喜翁,新竹縣五峰鄉竹林村4鄰忠興93號,"而位於新竹五峰鄉海拔1,180公尺的「愛上喜翁」露營區，坐落於山林之間，得名於原住民的地名，意指「雲霧之上」。這裡被群山環繞，雲霧繚繞，彷彿置身雲端秘境。你可以一泊四食，無需擔心帳篷設置的麻煩。享受高山美味佳餚，探訪杉木林，展開一場家庭共同體驗的森林冒險。",articles5.csv,精選11間新竹懶人露營攻略！豪華下午茶＆自然風景一次滿足,2024年03月27日 17:00,2953,1911,4864
尖石之美露營渡假村,新竹縣尖石鄉1之1號,在這片寧靜的山林中，您將被群山所環繞，小溪悠悠流淌，魚蝦在水中嬉戲，還有刺激的生存遊戲槍戰場、豐富的兒童遊樂器材，以及有趣的扭扭車賽道等等。此外，還有超大冰涼的山泉水戲水池，鄰近更有尖石超大的籃球場，等著您上山體驗野外樂趣。,articles5.csv,精選11間新竹懶人露營攻略！豪華下午茶＆自然風景一次滿足,2024年03月27日 17:00,2953,1911,4864
尖石夢田營區,新竹縣尖石鄉村5鄰270－5號,坐落於新竹縣尖石鄉的山區寶座，身處其中彷彿與大自然親密接觸，輕鬆欣賞到眼前的宏偉山川景緻。山勢間時而飄渺的輕雲繚繞，讓人彷彿置身仙境。對於露營新手而言，尖石夢田景觀露營區是絕佳的首選。也可選擇加購美味的烤肉晚餐和早餐，就算手上一無所有，也能滿足您的胃口。快來尋找屬於您的夢幻露營體驗吧！,articles5.csv,精選11間新竹懶人露營攻略！豪華下午茶＆自然風景一次滿足,2024年03月27日 17:00,2953,1911,4864
