,Name,Campsite,Address
0,Eta,阿里曼山莊,南投縣信義鄉
1,Eta,邊界,南投縣水里鄉新南路
2,Eta,本之山露營區,南投縣中寮鄉
3,Eta,蹦米香三合院露營區,南投縣魚池鄉水尾巷4-2號
4,Eta,伴天聊露營地,南投縣仁愛鄉山林巷
5,Eta,白雲朵朵,南投縣鹿谷鄉凍頂巷32之18號
6,Eta,蔽月山房,南投縣埔里鎮水上巷8號
7,Eta,潺潺森活,南投縣中寮鄉
8,Eta,麒麟岩臼苑,南投縣埔里鎮武界路7-1號
9,Eta,清翠露營區,南投縣仁愛鄉信義巷38附2號
10,Eta,宸羽坊衫,南投縣埔里鎮桃米路12-15號
11,Eta,大塊森林,南投縣仁愛鄉新生村山林巷
12,Eta,鳳凰山日出湖秘密基地,南投縣鹿谷鄉鳳凰村鳳園路88-50號
13,Eta,峰芢苑露營區,南投縣魚池鄉永川巷25之6號
14,Eta,高峰農場,南投縣國姓鄉南港村長石巷42-9號
15,Eta,小豬迷露,南投縣國姓鄉南港村港頭巷
16,Eta,亨宿露營區,南投縣鹿谷鄉光復路8之60號
17,Eta,幸埔森農場,南投縣埔里鎮
18,Eta,合興休閒露營區,南投縣魚池鄉五城村華龍巷73-1號
19,Eta,迦南之地,南投縣仁愛鄉投71鄉道34號
20,Eta,金青松露營區,南投縣國姓鄉北港村北圳巷26-3號
21,Eta,九份二山連興露營區,南投縣國姓鄉鳳鳴巷18之2號
22,Eta,樟湖山居民宿露營區,南投縣國姓鄉港頭巷10-8號
23,Eta,集元果觀光工廠露營區,南投縣集集鎮富山里大坪巷38號
24,Eta,中原秘境,南投縣仁愛鄉
25,Eta,快樂中原,南投縣仁愛鄉互助村原名路43附7號
26,Eta,龍品園,南投縣魚池鄉
27,Eta,露宿,南投縣埔里鎮
28,Eta,綠野森林農場露營區,南投縣埔里鎮西安路一段550巷
29,Eta,夢谷伊優達雅露營區,南投縣仁愛鄉松原巷
30,Eta,玫花露露營區,南投縣埔里鎮東峰路18號
31,Eta,慕名而來,南投縣中寮鄉
32,Eta,陌上冬梅露營區,南投縣信義鄉明德村新開巷11之9號
33,Eta,滿天馨露營區,南投縣仁愛鄉山農巷
34,Eta,非比露營區,南投縣仁愛鄉高峰巷70號
35,Eta,埔里聽瀑森林營地,南投縣埔里鎮武界路33-8號
36,Eta,波尼亞灣,南投縣魚池鄉銃櫃巷18號
37,Eta,青綠園,南投縣魚池鄉五城村五城巷11-22號
38,Eta,廬山日記,南投縣仁愛鄉榮華巷153號
39,Eta,日出藏雲,南投縣仁愛鄉親愛村親和巷
40,Eta,入森林. 露森林,南投縣魚池鄉共和村五馬巷2-30號
41,Eta,綠舍潭果露營區,南投縣埔里鎮蜈蚣里鯉魚路32號
42,Eta,露野森林,南投縣仁愛鄉虎門巷
43,Eta,沙八渡假村,南投縣國姓鄉北港村北原路34-1號
44,Eta,溪寶梅園,南投縣仁愛鄉明月巷95-1號
45,Eta,香茶樹,南投縣魚池鄉華龍巷
46,Eta,森德磊安,南投縣仁愛鄉清風路
47,Eta,石方緣,南投縣信義鄉開信巷1-1號
48,Eta,四心小草,南投縣魚池鄉五城村華龍巷41-8號
49,Eta,森活家露營渡假山莊,南投縣草屯鎮雙冬里雙龍巷5之20號
50,Eta,森之境露營區,南投縣國姓鄉南港二號
51,Eta,舒谷露營區,南投縣仁愛鄉
52,Eta,樹樂露營區,南投縣魚池鄉共和村五馬巷5之1號
53,Eta,161森林,南投縣仁愛鄉原名路66附5號
54,Eta,森露其境渡假村,南投縣埔里鎮種瓜路33-15號
55,Eta,喜樂福,南投縣國姓鄉北港村長北路95-20號
56,Eta,山林好蒔光,南投縣仁愛鄉高峰巷70附1號
57,Eta,森露快樂,南投縣魚池鄉平和巷10號
58,Eta,山林曉境露營區,南投縣國姓鄉南港2號
59,Eta,星夢露營區,南投縣埔里鎮福長路12巷75號
60,Eta,梢楠林民宿露營區,南投縣魚池鄕
61,Eta,史努櫻多肉果園,南投縣仁愛鄉虎門巷61-3號
62,Eta,仙聞露營區,南投縣魚池鄉五城村華龍巷73號
63,Eta,採茶媽媽露營區,南投縣仁愛鄉
64,Eta,田心小營地,南投縣仁愛鄉
65,Eta,童心園,南投縣埔里鎮中成路13之2號
66,Eta,騰雲農莊,南投縣國姓鄉南港村
67,Eta,W.H窩,南投縣鹿谷鄉中正路三段686巷
68,Eta,星空谷露營地,南投縣仁愛鄉中正村平等巷1號
69,Eta,雲的嘉露營區,南投縣國姓鄉南港二號
70,Eta,遇見東平莊園,南投縣埔里鎮覆金路21-1號
71,Eta,漾嵐山庄,南投縣國姓鄉長流村大長路584之9號
72,Eta,雲享清峰,南投縣國姓鄉墘溝村中西巷
73,Eta,友樹溪露營區,南投縣國姓鄉北港村長北路95-26號
74,Eta,埔里紫月樹葡萄營地,南投縣埔里鎮溪南里水牆巷5號
75,Eta,愛露營商店,台中市北屯區崇德九路369號
76,Eta,邦古河那彎,台中市和平區東關路一段松鶴三巷199-11號
77,Eta,晨融家筑,台中市和平區東關路一段松鶴三巷60-16號
78,Eta,谷關365露營區,台中市和平區東關路一段20之5號
79,Eta,哈露米露營區,台中市和平區博愛里東關路一段430號
80,Eta,照哥的家,台中市和平區博愛里裡冷巷86號
81,Eta,家霖農場,台中市和平區東關路一段台電巷122-2號
82,Eta,綠大地露營區,台中市新社區上坪4-6號
83,Eta,裡冷溪探索園區,台中市和平區東關路一段裡冷巷69號
84,Eta,夢鄉農場露營區,台中市東勢區茂興里13鄰東蘭路213號
85,Eta,Momo佳園民宿,台中市新社區協成村協中街189-2號
86,Eta,ㄡ熊熊露營園地,台中市和平區東關路一段松鶴三巷103號
87,Eta,石壁露營區,台中市和平區東關路一段430號
88,Eta,松風谷園區,台中市和平區博愛里東關路一段台電巷122-20號
89,Eta,松鶴唐麻丹,台中市和平區博愛里東關路一段松鶴三巷
90,Eta,松鶴延年,台中市和平區東關路一段松鶴三巷95-11號
91,Eta,司卡尤納,台中市和平區達觀里東崎路一段育英巷47-1號
92,Eta,小熊寶貝麥鄉農村,台中市大雅區上山五路和上山五路55巷
93,Eta,三山來此,台中市北屯區東山路二段183-33號
94,Eta,山上松亭,台中市和平區東關路一段360之5號
95,Eta,彩虹奇菁,台中市東勢區慶福里慶福街26號之2號
96,Eta,巴歌浪藝術園區,台東縣長濱鄉樟原村大峰峰15號
97,Eta,阿里山 迷糊露營區,嘉義縣阿里山鄉樂野村2鄰樂野68號
98,Eta,吉恩典山丘,嘉義縣水上鄉三界埔段532-4地號
99,Eta,美栗民宿露營區,嘉義縣番路鄉公興村下路14號
100,Eta,美淞露營地,嘉義縣水上鄉
101,Eta,三寶山露營區,嘉義縣番路鄉大湖村紅筆仔壽2之8號
102,Eta,草地兄弟,嘉義縣番路鄉大湖村2鄰17附1號
103,Eta,汪爸露營區,嘉義縣阿里山鄉樂野村
104,Eta,鵲子山露營區,宜蘭縣頭城鎮北宜路二段71巷51號
105,Eta,飛亞蘭露營區,宜蘭縣大同鄉茂安村泰雅路五段
106,Eta,舊寮之心,宜蘭縣冬山鄉中山村舊寮路131巷37號
107,Eta,橘子園露營區,宜蘭縣礁溪鄉白石腳路135-1號
108,Eta,山谷星空露營區,宜蘭縣三星鄉泰雅一路301巷71號
109,Eta,石頭屋蝴蝶農場,宜蘭縣冬山鄉梅林路971號
110,Eta,粗坑露營區,宜蘭縣員山鄉粗坑路151號
111,Eta,Uwah露營區,宜蘭縣大同鄉寒溪村華興巷42-18號
112,Eta,無憂花露營區,宜蘭縣礁溪鄉白石腳路157巷88號
113,Eta,又想露營趣,宜蘭縣冬山鄉照安一路360-1號
114,Eta,大羅蘭,新北市烏來區大羅蘭七號
115,Eta,福山達卡露營區,新北市烏來區大羅蘭19之1號
