,idx,fk,ratio
0,0,0,100.0
1,0,97,75.0
2,0,828,75.0
3,0,829,75.0
4,0,850,75.0
5,1,1,100.0
6,1,165,66.66666666666667
7,1,982,66.66666666666667
8,1,1088,66.66666666666667
9,1,1486,66.66666666666667
10,2,2,100.0
11,2,319,88.88888888888889
12,2,802,88.88888888888889
13,2,843,88.88888888888889
14,2,1045,88.88888888888889
15,3,3,100.0
16,3,1206,88.88888888888889
17,3,1746,88.88888888888889
18,3,9,75.0
19,3,16,75.0
20,4,4,100.0
21,4,395,90.9090909090909
22,4,100,75.0
23,4,186,75.0
24,4,293,75.0
25,5,5,100.0
26,5,39,40.0
27,5,69,40.0
28,5,72,40.0
29,5,125,40.0
30,6,6,100.0
31,6,180,57.14285714285714
32,6,949,50.0
33,6,56,40.0
34,6,58,40.0
35,7,7,100.0
36,7,49,66.66666666666667
37,7,609,50.0
38,7,975,50.0
39,7,1931,50.0
40,8,8,100.0
41,8,736,57.14285714285714
42,8,418,44.44444444444444
43,8,1454,44.44444444444444
44,8,1800,44.44444444444444
45,9,9,100.0
46,9,226,88.88888888888889
47,9,1332,88.88888888888889
48,9,1094,80.0
49,9,1166,80.0
50,10,10,100.0
51,10,350,40.0
52,10,368,40.0
53,10,1330,40.0
54,10,1386,40.0
55,11,11,100.0
56,11,403,80.0
57,11,1174,80.0
58,11,40,66.66666666666667
59,11,42,66.66666666666667
60,12,12,100.0
61,12,412,100.0
62,12,916,80.0
63,12,1919,80.0
64,12,1935,72.72727272727273
65,13,13,100.0
66,13,471,100.0
67,13,1161,80.0
68,13,1173,80.0
69,13,1529,80.0
70,14,14,100.0
71,14,402,100.0
72,14,1359,85.71428571428572
73,14,1372,75.0
74,14,17,66.66666666666667
75,15,15,100.0
76,15,331,75.0
77,15,27,66.66666666666667
78,15,327,66.66666666666667
79,15,401,66.66666666666667
80,16,16,100.0
81,16,22,88.88888888888889
82,16,60,88.88888888888889
83,16,99,88.88888888888889
84,16,122,88.88888888888889
85,17,17,100.0
86,17,14,66.66666666666667
87,17,81,66.66666666666667
88,17,187,66.66666666666667
89,17,369,66.66666666666667
90,18,18,100.0
91,18,142,83.33333333333334
92,18,220,83.33333333333334
93,18,225,83.33333333333334
94,18,303,83.33333333333334
95,19,19,100.0
96,19,459,100.0
97,19,465,75.0
98,19,342,66.66666666666667
99,19,256,57.14285714285714
100,20,20,100.0
101,20,516,88.88888888888889
102,20,521,88.88888888888889
103,20,1522,88.88888888888889
104,20,1488,83.33333333333334
105,21,21,100.0
106,21,450,100.0
107,21,1409,80.0
108,21,9,75.0
109,21,16,75.0
110,22,22,100.0
111,22,16,88.88888888888889
112,22,792,88.88888888888889
113,22,99,83.33333333333334
114,22,122,83.33333333333334
115,23,23,100.0
116,23,9,75.0
117,23,16,75.0
118,23,34,75.0
119,23,51,75.0
120,24,24,100.0
121,24,25,66.66666666666667
122,24,413,66.66666666666667
123,24,441,66.66666666666667
124,24,464,66.66666666666667
125,25,25,100.0
126,25,24,66.66666666666667
127,25,57,66.66666666666667
128,25,268,66.66666666666667
129,25,362,66.66666666666667
130,26,26,100.0
