,idx,fk,ratio
0,0,0,1.0
1,0,1,0.0
2,0,2,0.0
3,0,3,0.0
4,0,4,0.0
5,1,1,1.0
6,1,0,0.0
7,1,2,0.0
8,1,3,0.0
9,1,4,0.0
10,2,2,1.0
11,2,9,0.3333333333333333
12,2,16,0.3333333333333333
13,2,51,0.3333333333333333
14,2,52,0.3333333333333333
15,3,3,1.0
16,3,79,0.3333333333333333
17,3,528,0.3333333333333333
18,3,33,0.16666666666666666
19,3,34,0.16666666666666666
20,4,4,1.0
21,4,395,0.5
22,4,100,0.25
23,4,145,0.25
24,4,186,0.25
25,5,5,1.0
26,5,39,0.2
27,5,1585,0.2
28,5,1828,0.2
29,5,69,0.16666666666666666
30,6,6,1.0
31,6,1099,0.25
32,6,1209,0.2
33,6,1740,0.2
34,6,1763,0.2
35,7,7,1.0
36,7,609,0.25
37,7,49,0.16666666666666666
38,7,0,0.0
39,7,1,0.0
40,8,8,1.0
41,8,736,0.25
42,8,1605,0.2
43,8,418,0.14285714285714285
44,8,0,0.0
45,9,9,1.0
46,9,2,0.3333333333333333
47,9,16,0.3333333333333333
48,9,51,0.3333333333333333
49,9,52,0.3333333333333333
50,10,10,1.0
51,10,0,0.0
52,10,1,0.0
53,10,2,0.0
54,10,3,0.0
55,11,11,1.0
56,11,42,0.3333333333333333
57,11,53,0.3333333333333333
58,11,403,0.3333333333333333
59,11,525,0.3333333333333333
60,12,12,1.0
61,12,412,0.8333333333333334
62,12,916,0.3333333333333333
63,12,1919,0.3333333333333333
64,12,1935,0.3333333333333333
65,13,13,1.0
66,13,471,1.0
67,13,879,0.375
68,13,1364,0.375
69,13,245,0.3333333333333333
70,14,14,1.0
71,14,402,0.6666666666666666
72,14,17,0.3333333333333333
73,14,81,0.3333333333333333
74,14,139,0.3333333333333333
75,15,15,1.0
76,15,401,0.3333333333333333
77,15,327,0.25
78,15,331,0.16666666666666666
79,15,0,0.0
80,16,16,1.0
81,16,2,0.3333333333333333
82,16,9,0.3333333333333333
83,16,51,0.3333333333333333
84,16,52,0.3333333333333333
85,17,17,1.0
86,17,14,0.3333333333333333
87,17,81,0.3333333333333333
88,17,139,0.3333333333333333
89,17,187,0.3333333333333333
90,18,18,1.0
91,18,220,0.5
92,18,1252,0.5
93,18,1707,0.5
94,18,985,0.4
95,19,19,1.0
96,19,342,0.3333333333333333
97,19,459,0.2
98,19,465,0.16666666666666666
99,19,0,0.0
100,20,20,1.0
101,20,1337,0.4
102,20,1824,0.4
103,20,582,0.3333333333333333
104,20,1488,0.2857142857142857
105,21,21,1.0
106,21,450,1.0
107,21,2,0.2
108,21,9,0.2
109,21,16,0.2
110,22,22,1.0
111,22,1922,0.3333333333333333
112,22,1553,0.2857142857142857
113,22,852,0.2222222222222222
114,22,2,0.16666666666666666
115,23,23,1.0
116,23,33,0.2
117,23,34,0.2
118,23,41,0.2
119,23,50,0.2
120,24,24,1.0
121,24,25,0.3333333333333333
122,24,608,0.3333333333333333
123,24,804,0.3333333333333333
124,24,1497,0.3333333333333333
125,25,25,1.0
126,25,24,0.3333333333333333
127,25,57,0.3333333333333333
128,25,362,0.25
129,25,437,0.25
130,26,26,1.0
131,26,0,0.0
132,26,1,0.0
133,26,2,0.0
134,26,3,0.0
135,27,27,1.0
136,27,354,0.5
137,27,1399,0.5
138,27,0,0.0
139,27,1,0.0
140,28,28,1.0
141,28,1607,0.5
142,28,1939,0.5
143,28,469,0.4444444444444444
144,28,84,0.4
145,29,29,1.0
146,29,470,1.0
147,29,2,0.2
148,29,9,0.2
149,29,16,0.2
150,30,30,1.0
151,30,468,1.0
152,30,150,0.5
153,30,407,0.5
154,30,823,0.5
155,31,31,1.0
156,31,0,0.0
157,31,1,0.0
158,31,2,0.0
159,31,3,0.0
160,32,32,1.0
161,32,2,0.25
162,32,9,0.25
163,32,16,0.25
164,32,51,0.25
165,33,33,1.0
166,33,34,0.3333333333333333
167,33,41,0.3333333333333333
168,33,50,0.3333333333333333
169,33,87,0.3333333333333333
170,34,34,1.0
171,34,33,0.3333333333333333
172,34,41,0.3333333333333333
173,34,50,0.3333333333333333
174,34,87,0.3333333333333333
175,35,35,1.0
176,35,377,0.4
177,35,74,0.3333333333333333
178,35,408,0.2857142857142857
179,35,372,0.2222222222222222
180,36,36,1.0
181,36,0,0.0
182,36,1,0.0
183,36,2,0.0
184,36,3,0.0
185,37,37,1.0
186,37,432,0.5
187,37,0,0.0
188,37,1,0.0
189,37,2,0.0
190,38,38,1.0
191,38,0,0.0
192,38,1,0.0
193,38,2,0.0
194,38,3,0.0
195,39,39,1.0
196,39,1585,1.0
197,39,5,0.2
198,39,1828,0.2
199,39,69,0.16666666666666666
200,40,40,1.0
201,40,408,0.25
202,40,1382,0.25
203,40,959,0.2222222222222222
204,40,1917,0.2222222222222222
205,41,41,1.0
206,41,33,0.3333333333333333
207,41,34,0.3333333333333333
208,41,50,0.3333333333333333
209,41,87,0.3333333333333333
210,42,42,1.0
211,42,388,0.6666666666666666
212,42,11,0.3333333333333333
213,42,53,0.3333333333333333
214,42,403,0.3333333333333333
215,43,43,1.0
216,43,54,0.25
217,43,785,0.25
218,43,1229,0.25
219,43,1911,0.25
220,44,44,1.0
221,44,0,0.0
222,44,1,0.0
223,44,2,0.0
224,44,3,0.0
225,45,45,1.0
226,45,912,0.2
227,45,1542,0.2
228,45,0,0.0
229,45,1,0.0
230,46,46,1.0
231,46,0,0.0
232,46,1,0.0
233,46,2,0.0
234,46,3,0.0
235,47,47,1.0
236,47,637,0.3333333333333333
237,47,1634,0.16666666666666666
238,47,0,0.0
239,47,1,0.0
240,48,48,1.0
241,48,0,0.0
242,48,1,0.0
243,48,2,0.0
244,48,3,0.0
245,49,49,1.0
246,49,1485,0.375
247,49,632,0.2857142857142857
248,49,7,0.16666666666666666
249,49,816,0.16666666666666666
250,50,50,1.0
251,50,33,0.3333333333333333
252,50,34,0.3333333333333333
253,50,41,0.3333333333333333
254,50,87,0.3333333333333333
255,51,51,1.0
256,51,2,0.3333333333333333
257,51,9,0.3333333333333333
258,51,16,0.3333333333333333
259,51,52,0.3333333333333333
260,52,52,1.0
261,52,2,0.3333333333333333
262,52,9,0.3333333333333333
263,52,16,0.3333333333333333
264,52,51,0.3333333333333333
265,53,53,1.0
266,53,11,0.3333333333333333
267,53,42,0.3333333333333333
268,53,403,0.3333333333333333
269,53,525,0.3333333333333333
270,54,54,1.0
271,54,43,0.25
272,54,57,0.25
273,54,393,0.2
274,54,785,0.2
275,55,55,1.0
276,55,1589,0.3333333333333333
277,55,0,0.0
278,55,1,0.0
279,55,2,0.0
280,56,56,1.0
281,56,132,0.3333333333333333
282,56,694,0.3333333333333333
283,56,58,0.25
284,56,992,0.25
285,57,57,1.0
286,57,25,0.3333333333333333
287,57,54,0.25
288,57,362,0.25
289,57,393,0.25
290,58,58,1.0
291,58,992,0.5
292,58,949,0.4
293,58,33,0.25
294,58,34,0.25
295,59,59,1.0
296,59,2,0.3333333333333333
297,59,9,0.3333333333333333
298,59,16,0.3333333333333333
299,59,51,0.3333333333333333
300,60,60,1.0
301,60,99,0.4
302,60,122,0.4
303,60,283,0.4
304,60,247,0.3333333333333333
305,61,61,1.0
306,61,65,0.25
307,61,788,0.25
308,61,1030,0.25
309,61,681,0.2
310,62,62,1.0
311,62,2,0.3333333333333333
312,62,9,0.3333333333333333
313,62,16,0.3333333333333333
314,62,51,0.3333333333333333
315,63,63,1.0
316,63,436,0.4
317,63,2,0.25
318,63,9,0.25
319,63,16,0.25
320,64,64,1.0
321,64,118,0.25
322,64,175,0.25
323,64,177,0.25
324,64,211,0.25
325,65,65,1.0
326,65,788,0.3333333333333333
327,65,1030,0.3333333333333333
328,65,61,0.25
329,65,681,0.25
330,66,66,1.0
331,66,0,0.0
332,66,1,0.0
333,66,2,0.0
334,66,3,0.0
335,67,67,1.0
336,67,461,0.5
337,67,1233,0.4
338,67,196,0.16666666666666666
339,67,791,0.16666666666666666
340,68,68,1.0
341,68,1164,0.5
342,68,1259,0.5
343,68,1750,0.5
344,68,100,0.25
345,69,69,1.0
346,69,426,1.0
347,69,254,0.4
348,69,723,0.3333333333333333
349,69,1758,0.3333333333333333
350,70,70,1.0
351,70,457,1.0
352,70,224,0.25
353,70,503,0.25
354,70,711,0.25
355,71,71,1.0
356,71,0,0.0
357,71,1,0.0
358,71,2,0.0
359,71,3,0.0
360,72,72,1.0
361,72,0,0.0
362,72,1,0.0
363,72,2,0.0
364,72,3,0.0
365,73,73,1.0
366,73,2,0.3333333333333333
367,73,9,0.3333333333333333
368,73,16,0.3333333333333333
369,73,51,0.3333333333333333
370,74,74,1.0
371,74,35,0.3333333333333333
372,74,100,0.2
373,74,145,0.2
374,74,186,0.2
375,75,75,1.0
376,75,990,0.5
377,75,1358,0.25
378,75,0,0.0
379,75,1,0.0
380,76,76,1.0
381,76,0,0.0
382,76,1,0.0
383,76,2,0.0
384,76,3,0.0
385,77,77,1.0
386,77,0,0.0
387,77,1,0.0
388,77,2,0.0
389,77,3,0.0
390,78,78,1.0
391,78,539,1.0
392,78,510,0.5
393,78,33,0.25
394,78,34,0.25
395,79,79,1.0
396,79,528,1.0
397,79,3,0.3333333333333333
398,79,33,0.25
399,79,34,0.25
400,80,80,1.0
401,80,524,1.0
402,80,117,0.5
403,80,1650,0.5
404,80,1884,0.4
405,81,81,1.0
406,81,14,0.3333333333333333
407,81,17,0.3333333333333333
408,81,139,0.3333333333333333
409,81,187,0.3333333333333333
