,base_idx,Campsite,f_idx,f_site,f_ratio,j_idx,j_site,j_ratio,s_idx,s_site,s_ratio
61,12,鳳凰山日出湖秘密基地,412,鳳凰山日出湖秘密基地露營區,100.0,412,鳳凰山日出湖秘密基地露營區,0.8333333333333334,412,鳳凰山日出湖秘密基地露營區,0.9128709291752768
66,13,峰芢苑露營區,471,峰芢苑露營區,100.0,471,峰芢苑露營區,1.0,471,峰芢苑露營區,1.0000000000000002
71,14,高峰農場,402,高峰農場露營區,100.0,402,高峰農場露營區,0.6666666666666666,402,高峰農場露營區,0.816496580927726
106,21,九份二山連興露營區,450,九份二山連興露營區,100.0,450,九份二山連興露營區,1.0,450,九份二山連興露營區,1.0
146,29,夢谷伊優達雅露營區,470,夢谷伊優達雅露營區,100.0,470,夢谷伊優達雅露營區,1.0,470,夢谷伊優達雅露營區,1.0
151,30,玫花露露營區,468,玫花露露營區,100.0,468,玫花露露營區,1.0,468,玫花露露營區,1.0000000000000002
196,39,日出藏雲,1585,日出藏雲,100.0,1585,日出藏雲,1.0,1585,日出藏雲,1.0000000000000002
211,42,露野森林,388,露野森林SNUWING,100.0,388,露野森林SNUWING,0.6666666666666666,388,露野森林SNUWING,0.816496580927726
346,69,雲的嘉露營區,426,雲的嘉露營區,100.0,426,雲的嘉露營區,1.0,426,雲的嘉露營區,1.0
351,70,遇見東平莊園,457,遇見東平莊園,100.0,457,遇見東平莊園,1.0,457,遇見東平莊園,1.0000000000000002
391,78,谷關365露營區,539,谷關365露營區,100.0,539,谷關365露營區,1.0,539,谷關365露營區,1.0000000000000002
396,79,哈露米露營區,528,哈露米露營區,100.0,528,哈露米露營區,1.0,528,哈露米露營區,1.0000000000000002
401,80,照哥的家,524,照哥的家,100.0,524,照哥的家,1.0,524,照哥的家,1.0000000000000002
411,82,綠大地露營區,514,綠大地露營區,100.0,514,綠大地露營區,1.0,514,綠大地露營區,1.0000000000000002
416,83,裡冷溪探索園區,519,裡冷溪探索園區,100.0,519,裡冷溪探索園區,1.0,519,裡冷溪探索園區,1.0000000000000002
431,86,ㄡ熊熊露營園地,493,ㄡ熊熊露營園地,100.0,493,ㄡ熊熊露營園地,1.0,493,ㄡ熊熊露營園地,1.0
436,87,石壁露營區,584,石壁露營區,100.0,584,石壁露營區,1.0,584,石壁露營區,0.9999999999999998
471,94,山上松亭,540,山上松亭露營區,100.0,540,山上松亭露營區,0.6666666666666666,540,山上松亭露營區,0.816496580927726
486,97,阿里山 迷糊露營區,892,阿里山迷糊露營區,87.5,892,阿里山迷糊露營區,0.75,892,阿里山迷糊露營區,0.8660254037844388
491,98,吉恩典山丘,833,吉恩典山丘露營區,100.0,833,吉恩典山丘露營區,0.75,833,吉恩典山丘露營區,0.8660254037844388
501,100,美淞露營地,882,美淞露營地,100.0,882,美淞露營地,1.0,882,美淞露營地,0.9999999999999998
506,101,三寶山露營區,870,三寶山露營區,100.0,870,三寶山露營區,1.0,870,三寶山露營區,0.9999999999999998
511,102,草地兄弟,910,草地兄弟露營區,100.0,910,草地兄弟露營區,0.6666666666666666,910,草地兄弟露營區,0.816496580927726
516,103,汪爸露營區,886,汪爸露營區,100.0,886,汪爸露營區,1.0,886,汪爸露營區,0.9999999999999998
526,105,飛亞蘭露營區,958,飛亞蘭露營區,100.0,958,飛亞蘭露營區,1.0,958,飛亞蘭露營區,0.9999999999999998
536,107,橘子園露營區,940,橘子園露營區,100.0,940,橘子園露營區,1.0,940,橘子園露營區,1.0000000000000002
541,108,山谷星空露營區,964,山谷星空,100.0,964,山谷星空,0.6666666666666666,964,山谷星空,0.816496580927726
556,111,Uwah露營區,976,Uwah露營區,100.0,976,Uwah露營區,1.0,976,Uwah露營區,0.9999999999999998
