,Name,Campsite,Address,Similar_idx,Name_similar,Campsite_similar,Campsite_ratio,Address_similar,Address_ratio
22,Shelly,武界雲夢茗園,546南投縣仁愛鄉茶園巷1之1號,10,Shelly,武界雲窩森林露營區,66.66666666666667,546南投縣仁愛鄉茶園巷1附2號,89.65517241379311
119,Shelly,中正露營區精神碉堡總集合場,406台中市北屯區連坑巷,176,Shelly,中正露營區愛國分營區,66.66666666666667,406台中市北屯區連坑巷中正露營區精神碉堡總集合場,100.0
205,Shelly,石岡水舍,422台中市石岡區石城街47-1號,203,Shelly,石岡森林,66.66666666666667,422台中市石岡區石岡街頭坪巷9-2號,75.86206896551724
300,Shelly,珊瑚潭童軍露營中心,720台南市官田區八田路三段櫻花巷59號,294,Shelly,珊瑚潭草地露營區,66.66666666666667,720台南市官田區,100.0
309,Shelly,尖山埤鴻盛露營區,736台南市柳營區60號,292,Shelly,尖山埤露營區,66.66666666666667,736台南市柳營區南107鄉道,85.71428571428572
402,Shelly,東遊季露營區,954台東縣卑南鄉溫泉路376巷18號,416,Shelly,東遊季溫泉渡假村,66.66666666666667,954台東縣卑南鄉溫泉路376巷18號,100.0
416,Shelly,東遊季溫泉渡假村,954台東縣卑南鄉溫泉路376巷18號,402,Shelly,東遊季露營區,66.66666666666667,954台東縣卑南鄉溫泉路376巷18號,100.0
698,Shelly,霧台神山賴媽媽驛棧,902屏東縣霧台鄉神山巷1-9號,696,Shelly,霧台神山Ra噠呢露營區,61.53846153846154,902屏東縣霧台鄉神山巷1-22號,93.33333333333333
731,Shelly,多隆納,921屏東縣泰武鄉佳平巷230號,702,Shelly,多阿隆農莊,66.66666666666667,921屏東縣泰武鄉,100.0
775,Shelly,飛督努休閒 露營區,桃園市復興區20-1號,1520,Eta,飛督努露營區,66.66666666666667,桃園市復興區霞雲里5鄰成福路559號,70.58823529411764
796,Shelly,梅后蔓露營區,31141新竹縣五峰鄉花園村8鄰花園185之11,1467,Eta,梅后蔓瀑布露營區,66.66666666666667,新竹縣五峰鄉,100.0
928,Shelly,雲霧農場,336桃園市復興區色霧鬧10-21號,921,Shelly,山雲海露營農場,66.66666666666667,336桃園市復興區中心路156號,72.0
946,Shelly,山大王休閒農莊,336桃園市復興區成福路,993,Shelly,山大王露營區,66.66666666666667,336桃園市復興區成福路,100.0
993,Shelly,山大王露營區,336桃園市復興區成福路,946,Shelly,山大王休閒農莊,66.66666666666667,336桃園市復興區成福路,100.0
1035,Shelly,奇蹟野戰營,972花蓮縣秀林鄉加灣地號436號,1024,Shelly,奇蹟農場,66.66666666666667,972花蓮縣秀林鄉,100.0
1327,Eta,幸埔森農場,南投縣埔里鎮,0,Shelly,樂活森林農場,66.66666666666667,545南投縣埔里鎮桃米路55-1號,100.0
1467,Eta,梅后蔓瀑布露營區,新竹縣五峰鄉,796,Shelly,梅后蔓露營區,66.66666666666667,31141新竹縣五峰鄉花園村8鄰花園185之11,100.0
1520,Eta,飛督努露營區,桃園市復興區霞雲里5鄰成福路559號,775,Shelly,飛督努休閒 露營區,66.66666666666667,桃園市復興區20-1號,70.58823529411764
1522,Eta,嘎色鬧露營區,桃園市復興區奎輝里8鄰嘎色鬧23號,920,Shelly,蜻蜓露營區-嘎色鬧,66.66666666666667,336桃園市復興區奎輝里7鄰嘎色鬧2號,90.9090909090909
1633,Eta,泰安哈尼,苗栗縣泰安鄉大興村,1641,Eta,泰安王子小豬仔露營區,66.66666666666667,苗栗縣泰安鄉大興村,100.0
